Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Make,Model,Number_of_Engines,Engine_Type,Purpose_of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Report_Status
20190326X84617,Accident,ERA19LA138,3/26/19,"McAlpin, FL",United States,30.118056,-82.915278,FL10,Little River,Non-Fatal,Destroyed,Airplane,FISHER FLYING PRODUCTS,Dakota Hawk,1,Reciprocating,Personal,0,0,0,1,VMC,TAKEOFF,Factual
20190327X00127,Accident,CEN19LA111,3/26/19,"Newton, KS",United States,38.067778,-97.275278,EWK,Newton-City-County,Non-Fatal,Substantial,Airplane,Cessna,140,1,Reciprocating,Personal,0,0,0,1,VMC,APPROACH,Factual
20190325X33030,Accident,ERA19LA136,3/25/19,"Clewiston, FL",United States,26.323611,-80.943333,59FD,Unknown,Non-Fatal,Substantial,Airplane,Beech,95B55,2,Reciprocating,Personal,0,0,2,1,VMC,Unknown,Preliminary
20190325X85524,Accident,GAA19CA234,3/24/19,"Philadelphia, PA",United States,40.0875,-75.005556,PNE,NORTHEAST PHILADELPHIA,Non-Fatal,Substantial,Airplane,Cessna,T310,2,Reciprocating,Other Work Use,0,0,0,3,VMC,LANDING,Probable Cause
20190325X85220,Accident,GAA19CA180,3/24/19,"Tampa, FL",United States,27.975556,-82.533334,TPA,Tampa Intl,Non-Fatal,Substantial,Airplane,Piper,PA23,2,Reciprocating,Personal,0,0,0,1,VMC,DESCENT,Probable Cause
20190324X25125,Accident,GAA19CA177,3/24/19,"Fayetteville, AR",United States,35.98,-94.07,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Champion,7EC,1,Reciprocating,Personal,0,0,1,0,VMC,TAKEOFF,Probable Cause
20190325X84601,Accident,ERA19LA137,3/24/19,"FORT LAUDERDALE, FL",United States,26.071389,-80.141666,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Pilatus,PC12,1,Turbo Prop,Personal,0,0,0,3,VMC,CLIMB,Factual
20190325X73004,Accident,ERA19LA135,3/24/19,"Blanch, NC",United States,36.4925,-79.311667,PVT,Private AIrstrip,Non-Fatal,Substantial,Airplane,Piper,PA22,1,Reciprocating,Personal,0,1,1,0,VMC,TAKEOFF,Factual
20190324X31144,Accident,GAA19CA178,3/23/19,"Mecosta, MI",United States,43.576945,-85.283889,0C5,Canadian Lakes,Non-Fatal,Substantial,Airplane,Piper,PA 12,1,Reciprocating,Personal,0,0,0,2,VMC,LANDING,Probable Cause
20190323X91950,Accident,ERA19FA134,3/23/19,"Calhoun, GA",United States,34.451389,-84.950833,CZL,TOM B DAVID FLD,Fatal,Substantial,Airplane,HOGAN,Innovator,0,Unknown,Flight Test,1,0,0,0,VMC,APPROACH,Preliminary
20190324X30039,Accident,CEN19LA107,3/23/19,"Loveland, CO",United States,40.451944,-105.011389,FNL,Northern Colorado Regional,Non-Fatal,Substantial,Airplane,Cessna,R172E,1,Reciprocating,Personal,0,1,2,0,VMC,APPROACH,Probable Cause
20190325X75627,Accident,GAA19CA190B,3/21/19,"Hollywood, FL",United States,25.998889,-80.240277,HWO,NORTH PERRY,Non-Fatal,Substantial,Airplane,Cessna,150,1,Reciprocating,Instructional,0,0,0,3,VMC,STANDING,Probable Cause
20190325X75627,Accident,GAA19CA190A,3/21/19,"Hollywood, FL",United States,25.998889,-80.240277,HWO,NORTH PERRY,Non-Fatal,Minor,Airplane,Cessna,172,1,Reciprocating,Instructional,0,0,0,3,VMC,TAXI,Probable Cause
20190321X84610,Accident,GAA19CA174,3/21/19,"Atmautluak, AK",United States,60.863889,-162.273889,4A2,Atmautluak,Non-Fatal,Substantial,Airplane,Piper,PA32R,1,Reciprocating,Unknown,0,0,0,5,UNK,Unknown,Probable Cause
20190322X90001,Accident,CEN19LA130,3/21/19,"Milton, LA",United States,30.093333,-92.076945,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Cessna,L19,0,Unknown,Personal,0,0,0,1,VMC,MANEUVERING,Preliminary
20190327X23857,Accident,GAA19CA181,3/20/19,"Kailua-Kona, HI",United States,19.808056,-155.998333,Unknown,Unknown,Non-Fatal,Substantial,Weight-Shift,AIR CREATION,TANARG,1,Reciprocating,Personal,0,0,2,0,VMC,MANEUVERING,Probable Cause
20190320X54448,Accident,GAA19CA176,3/20/19,"Savannah, GA",United States,32.128334,-81.198333,SAV,SAVANNAH/HILTON HEAD INTL,Non-Fatal,Substantial,Airplane,Piper,PA28,1,Reciprocating,Personal,0,0,0,1,VMC,STANDING,Probable Cause
20190321X90428,Accident,ERA19LA132,3/20/19,"Sharpsburg, GA",United States,33.383334,-84.631667,29GA,ROLLING MEADOWS AIRFIELD,Non-Fatal,Substantial,Weight-Shift,APOLLO,MONSOON,0,Unknown,Personal,0,1,0,0,Unknown,LANDING,Preliminary
20190320X13153,Accident,CEN19LA106,3/20/19,"Madill, OK",United States,34.303889,-97.020556,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,Robinson,R22,1,Reciprocating,Personal,0,0,0,1,VMC,CRUISE,Factual
20190318X60546,Accident,GAA19CA189,3/18/19,"Corvallis, OR",United States,44.497222,-123.289444,CVO,Corvallis Muni,Non-Fatal,Substantial,Airplane,Cessna,140,1,Reciprocating,Personal,0,0,0,2,VMC,LANDING,Probable Cause
20190318X82725,Accident,CEN19FA104,3/18/19,"Yukon, OK",United States,35.604444,-97.705556,HSD,Sundance Airport,Fatal,Destroyed,Airplane,Israel Aircraft Industries,1124,0,Unknown,Unknown,2,0,0,0,VMC,TAKEOFF,Preliminary
20190319X93150,Accident,WPR19LA098,3/17/19,"Reno, NV",United States,39.67,-119.88,RTS,Reno/Stead,Non-Fatal,Substantial,Airplane,Piper,PA 24,1,Reciprocating,Personal,0,0,0,3,Unknown,LANDING,Preliminary
20190317X93630,Accident,CEN19FA100,3/17/19,"Plain City, OH",United States,40.188333,-83.204444,Unknown,Unknown,Fatal,Destroyed,Airplane,Cessna,421,2,Reciprocating,Business,1,0,0,0,IMC,Unknown,Preliminary
20190316X65416,Accident,WPR19FA096,3/16/19,"Riverside, CA",United States,33.938333,-117.486389,RAL,Riverside Muni,Fatal,Substantial,Airplane,Beech,50,0,Reciprocating,Personal,1,0,0,0,VMC,TAKEOFF,Preliminary
20190318X63245,Accident,ANC19LA015,3/16/19,"Talkeetna, AK",United States,62.333056,-150.078611,TKA,TALKEETNA,Non-Fatal,Substantial,Airplane,Cessna,150,1,Reciprocating,Instructional,0,0,0,2,VMC,TAKEOFF,Factual
20190320X01638,Accident,GAA19CA173,3/15/19,"Independence, IA",United States,42.456944,-91.947777,IIB,Independence Muni,Non-Fatal,Substantial,Airplane,Pereira,OSPREY,1,Reciprocating,Personal,0,0,1,0,VMC,MANEUVERING,Probable Cause
20190315X63853,Accident,GAA19CA170,3/15/19,"Moberly, MO",United States,39.464167,-92.431945,MBY,Omar N Bradley,Non-Fatal,Substantial,Airplane,Piper,PA 11,1,Reciprocating,Positioning,0,0,0,1,VMC,LANDING,Probable Cause
20190315X83105,Accident,GAA19CA169,3/15/19,"Madras, OR",United States,44.670278,-121.155278,S33,Madras Municipal,Non-Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Instructional,0,0,0,1,VMC,LANDING,Probable Cause
20190315X11250,Accident,GAA19CA167,3/15/19,"Yakima, WA",United States,46.566945,-120.537222,YKM,YAKIMA AIR TERMINAL/MCALLISTER,Non-Fatal,Substantial,Airplane,Cub Crafters,CC18,1,Reciprocating,Instructional,0,0,0,2,VMC,LANDING,Probable Cause
20190316X10529,Accident,WPR19LA114,3/14/19,"San Diego, CA",United States,32.815556,-117.139722,MYF,Montgomery-Gibbs Executive,Non-Fatal,Substantial,Airplane,Great Lakes,2T1A,1,Reciprocating,Personal,0,0,0,2,VMC,CLIMB,Preliminary
20190322X14036,Accident,ERA19TA133,3/14/19,"Sanford, FL",United States,28.776945,-81.235,SFB,Orlando Sanford International,Non-Fatal,Substantial,Airplane,Cessna,650,2,Turbo Fan,Personal,0,0,0,4,VMC,TAXI,Factual
20190315X92308,Accident,ERA19FA130,3/14/19,"Cashiers, NC",United States,35.0625,-83.153889,Unknown,Unknown,Fatal,Unknown,Airplane,Mooney,M20C,1,Reciprocating,Personal,1,0,0,0,UNK,Unknown,Preliminary
20190314X60852,Accident,CEN19FA099,3/14/19,"Lakeway, TX",United States,30.351389,-97.993889,3R9,Lakeway Airpark,Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,Instructional,1,1,0,0,VMC,APPROACH,Preliminary
